,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5
14630,4,7,4,4,5,4,4,4,,3
14629,4,9,3,3,3,3,3,4,Research Method and Material,4
14626,5,8,4,5,4,4,4,4,,4
14624,5,8,5,4,5,5,4,4,Personal Conscience and Ethics,3
14627,5,9,4,4,3,4,4,4,,4
14647,4,8,4,4,5,5,5,4,,4
14644,4,9,4,3,4,4,4,4,,3
14655,5,10,5,5,5,5,5,4,,5
14638,3,7,4,3,4,4,5,4,,3
14653,4,8,4,4,4,3,4,4,,4
14649,5,8,4,4,5,5,5,4,,4
14665,4,8,4,4,4,4,4,4,Personal Conscience and Ethics,3
14666,5,8,4,4,4,5,4,3,,3
14641,5,10,5,5,5,5,5,5,Personal Conscience and Ethics,4
14669,4,7,5,4,4,4,5,4,,4
14648,4,9,4,4,4,4,4,4,,4
14684,5,8,4,4,4,4,4,4,,3
14710,5,9,4,4,4,4,4,4,Personal Conscience and Ethics,3
14640,5,10,2,1,5,2,3,3,,2
14657,5,10,5,4,5,4,4,5,,4
14699,4,8,3,3,3,3,3,3,,3
14668,5,8,4,4,4,5,4,4,,4
14642,5,9,3,4,5,5,4,3,Research ethics Education and Training,3
14695,4,8,3,2,4,3,4,4,Personal Conscience and Ethics,3
14698,4,4,4,3,3,5,4,4,,3
14733,4,10,4,2,5,5,5,3,,4
14639,4,8,3,3,3,4,4,3,Regulation and Guideline,3
14693,5,10,5,3,5,4,4,2,Research Environment and Compilance,5
14677,5,9,4,4,4,5,3,3,,4
14658,4,9,4,4,4,4,4,4,"Evaluation, Punishment and Reponsiblity",4
14738,4,7,4,3,4,4,5,4,Personal Conscience and Ethics,3
14778,5,10,5,5,5,5,5,5,Personal Conscience and Ethics,5
14637,4,9,4,5,5,4,4,4,,4
14763,5,10,5,5,5,5,4,5,,5
14779,5,10,5,5,5,5,5,5,Research Method and Material,5
14775,4,8,4,3,4,3,3,3,Research ethics Education and Training,4
14709,5,8,4,4,4,5,4,4,,3
14802,4,6,2,1,2,2,2,1,Research Method and Material,3
14628,5,10,5,3,5,5,5,5,Research Environment and Compilance,5
14783,5,10,4,4,5,4,4,5,,4
14787,5,6,5,5,5,5,5,5,,5
14673,5,10,4,5,5,4,4,3,Research Environment and Compilance,4
14714,5,10,5,5,5,5,5,5,Personal Conscience and Ethics,5
14805,4,7,4,4,4,4,4,4,Regulation and Guideline,3
14804,5,9,4,4,4,4,4,4,,4
14809,5,8,4,4,4,5,4,4,,5
14711,5,8,4,5,4,5,5,4,,4
14708,5,8,4,4,5,4,5,4,Regulation and Guideline,3
14834,5,9,4,3,4,5,4,4,,4
14814,5,9,5,4,4,5,4,4,,3
14817,5,8,5,4,4,5,5,5,Personal Conscience and Ethics,4
14849,5,8,5,5,5,5,5,5,Personal Conscience and Ethics,4
14853,5,8,4,3,5,3,4,3,ETC (prevention),5
14858,5,9,4,4,5,5,5,3,Regulation and Guideline,5
14871,4,8,4,3,5,4,4,4,,4
14883,4,9,3,3,4,4,4,4,,3
14860,5,8,4,4,4,4,4,4,Personal Conscience and Ethics,4
14707,4,8,3,4,5,3,3,3,,3
14731,5,9,4,4,4,4,5,4,Communication and Collaboration,3
14930,4,6,4,3,3,4,3,3,,3
14919,5,10,4,4,5,4,3,4,,5
14623,5,9,5,5,5,5,5,5,,4
15036,5,10,5,5,4,5,4,5,Personal Conscience and Ethics,4
15062,4,9,4,4,5,4,4,4,,3
15126,2,4,3,4,4,3,4,3,,3
15149,4,8,4,4,3,5,4,4,Research Environment and Compilance,4
15204,5,8,5,4,5,3,5,3,,3
15222,5,9,4,4,5,5,5,5,,4
15169,5,9,4,4,4,4,4,4,Personal Conscience and Ethics,4
15272,4,7,4,3,4,5,5,4,Regulation and Guideline,3
15274,4,6,4,3,4,4,4,4,,3
15244,5,9,4,4,5,5,5,3,,3
15289,4,9,4,4,5,5,5,5,,5
15291,5,10,5,4,5,4,4,4,,3
15304,5,9,4,4,5,4,3,3,ETC (Leader),3
15361,5,9,5,5,5,5,5,5,Personal Conscience and Ethics,4
15395,5,9,4,5,5,5,4,4,,4
15400,4,9,4,4,4,4,4,4,Personal Conscience and Ethics,4
15426,4,6,5,4,5,5,4,4,,3
15396,4,10,4,3,4,4,4,4,,3
15456,4,5,3,4,4,3,4,4,,2
15435,5,8,1,1,4,4,3,4,Personal Conscience and Ethics,3
15515,5,9,5,5,5,5,5,5,,4
15541,5,9,5,4,5,5,4,4,,5
15557,5,8,3,4,4,3,4,3,Personal Conscience and Ethics,4
15478,5,8,4,5,5,4,5,5,Personal Conscience and Ethics,3
15571,5,7,3,3,4,3,5,5,,3
14682,5,9,4,4,5,4,4,4,Personal Conscience and Ethics,4
15597,5,10,5,4,4,4,4,4,,3
15641,4,8,4,4,4,4,4,4,,4
15654,5,9,4,4,4,4,4,4,,4
15701,5,9,4,1,4,5,5,2,,4
15299,5,10,5,4,5,5,5,5,,4
15529,5,8,5,4,5,4,4,4,Research Environment and Compilance,4
15758,5,10,5,5,5,5,5,5,,5
15896,4,9,4,3,3,4,4,4,,4
16207,5,10,5,5,5,4,4,4,Research Method and Material,5
16458,5,8,5,4,4,4,4,3,Regulation and Guideline,4
16522,5,8,3,2,5,2,4,2,Research Environment and Compilance,4
16655,5,10,5,5,5,5,5,5,Research Method and Material,4
16933,5,10,4,3,4,4,3,4,Personal Conscience and Ethics,4
16918,5,10,4,4,4,4,4,3,,4
16962,5,9,5,4,4,5,5,4,,3
17159,5,9,5,5,5,5,5,5,,5
17568,5,8,5,4,5,4,4,4,,4
18141,4,10,4,3,4,4,4,4,Personal Conscience and Ethics,4
18796,5,9,4,4,4,4,4,4,Personal Conscience and Ethics,4
20367,4,8,4,3,4,4,3,3,,4
20180,5,9,5,4,5,4,5,5,Research ethics Education and Training,3
23778,5,9,5,4,4,5,5,4,Personal Conscience and Ethics,4
23802,5,10,5,5,5,5,5,5,,4
24887,5,9,4,4,4,4,4,4,,4
26069,4,8,4,4,4,4,4,4,,4
26065,5,8,4,5,5,5,4,5,,5
26058,4,7,4,4,4,4,4,4,,4
26061,5,9,5,5,5,5,5,5,,5
26062,5,9,4,2,5,4,4,3,Personal Conscience and Ethics,4
26057,5,9,5,5,5,5,5,5,,3
26077,5,8,5,4,5,5,4,4,Personal Conscience and Ethics,4
26081,5,10,5,5,5,5,5,5,,5
26076,4,6,4,3,5,5,5,3,,3
26075,4,3,4,4,4,4,4,4,,3
26074,5,10,5,5,5,5,5,5,,4
26066,5,7,5,4,5,5,4,4,Regulation and Guideline,4
26064,5,8,3,3,5,4,4,3,,5
26083,5,9,4,4,4,4,4,4,,4
26063,4,8,4,4,5,5,5,5,,3
26078,5,9,4,4,4,5,4,4,Personal Conscience and Ethics,4
26090,5,8,1,1,5,5,5,1,,1
26082,5,9,4,4,4,4,4,4,,4
26085,5,8,5,5,4,5,5,5,Research Environment and Compilance,1
26093,5,10,5,5,5,5,4,5,Research Environment and Compilance,3
26132,5,10,4,3,5,5,4,5,,4
26095,4,8,4,3,4,5,4,4,Research ethics Education and Training,4
26125,5,9,2,2,5,5,4,5,Communication and Collaboration,3
26147,5,8,3,3,4,3,4,4,Communication and Collaboration,3
26148,5,9,3,3,4,4,3,4,Communication and Collaboration,3
26141,5,10,5,4,5,5,4,4,,4
26157,4,8,4,4,5,4,4,3,,4
26140,5,8,5,5,5,5,5,5,,5
26171,4,8,3,4,4,2,4,4,Personal Conscience and Ethics,4
26160,5,9,5,5,4,4,5,4,,5
26161,4,8,4,3,5,4,5,4,,4
26173,4,9,4,4,4,5,4,4,,4
26178,4,10,2,4,4,4,4,3,"Evaluation, Punishment and Reponsiblity",3
26170,5,10,4,4,5,4,4,4,,4
26191,5,8,4,4,4,4,4,4,"Evaluation, Punishment and Reponsiblity",4
26198,5,10,3,4,3,3,5,2,Personal Conscience and Ethics,4
26202,5,9,5,3,4,5,5,3,"Evaluation, Punishment and Reponsiblity",5
26216,5,9,3,5,4,5,5,5,Personal Conscience and Ethics,4
26258,5,9,5,4,5,4,4,4,,5
26328,5,4,4,5,4,4,4,4,"Evaluation, Punishment and Reponsiblity",3
26199,5,8,5,5,5,5,5,5,Regulation and Guideline,5
26400,4,9,4,4,5,4,5,4,Wage and Labor Environment,3
26514,5,10,3,4,3,2,3,3,,5
26519,4,9,4,4,4,4,4,4,,3
26671,4,8,3,3,2,5,5,4,Research Environment and Compilance,3
26765,5,8,5,5,5,5,5,4,,4
26739,5,10,4,4,5,4,4,4,Research Environment and Compilance,4
26816,5,9,3,3,4,5,5,3,Communication and Collaboration,4
26895,5,8,4,5,4,4,4,4,,5
27004,3,6,4,4,4,4,4,4,,3
27015,4,8,4,4,4,5,4,4,Research Method and Material,3
27046,4,6,4,4,3,4,4,3,,3
27725,5,10,4,4,4,4,4,4,Wage and Labor Environment,3
27863,5,9,4,4,4,4,5,4,,4
28045,5,8,3,3,5,4,5,5,Personal Conscience and Ethics,3
