column,count,column_1,proportion,column_1_right
위조,10,157,0.059880239520958084,0.940119760479042
변조,8,159,0.04790419161676647,0.9520958083832336
표절,9,158,0.05389221556886228,0.9461077844311377
부당한 저자표시,27,140,0.16167664670658682,0.8383233532934132
중복게재,14,153,0.08383233532934133,0.9161676646706587
"조사방해 행위, 제보자 위협 행위 등의 기타",5,162,0.029940119760479042,0.970059880239521
동물실험윤리,2,165,0.011976047904191617,0.9880239520958084
연구노트 관리,8,159,0.04790419161676647,0.9520958083832336
연구 성과 관리 및 연구 보안,6,161,0.035928143712574856,0.9640718562874252
연구비 집행과 관리,33,134,0.19760479041916168,0.8023952095808383
